"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT13","WT16","WT17","WT18","WT19","WT22"
"USW00003936","MANHATTAN ASOS, KS US","1996-07-01",,,,,,,,,"98","66",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-02",,,,,,,,,"100","66",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-03",,,,,,,,,"92","67",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-04",,,,,,,,,"88","68",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-05",,,,,,,,,"91","65",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-06",,,,,,,,,"88","71",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-07",,,,,,,,,"92","68",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-08",,,,,,,,,"84","63",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-09",,,,,,,,,"81","61",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-10",,,,,,,,,"78","51",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-11",,,,,,,,,"77","56",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-12",,,,,,,,,"86","64",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-13",,,,,,,,,"89","61",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-14",,,,,,,,,"85","61",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-15",,,,,,,,,"92","55",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-16",,,,,,,,,"95","73",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-17",,,,,,,,,"98","77",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-18",,,,,,,,,"101","79",,,,,,,,,,,,,,,,,,,,,
"USW00003936","MANHATTAN ASOS, KS US","1996-07-19",,,,,,,,,"101","72",,,,,,,,,,,,,,,,,,,,,
